"mnar_strength","nsim","or_pooled","or_oracle","slope_A","slope_B","slope_gap","oe_A","oe_B","oe_gap","cal_int_A","cal_int_B","cal_int_gap","oe_near_A","oe_near_B","coded_rate_A","coded_rate_B","events","or_pooled_mcse","or_oracle_mcse","slope_A_mcse","slope_B_mcse","slope_gap_mcse","oe_A_mcse","oe_B_mcse","oe_gap_mcse","cal_int_A_mcse","cal_int_B_mcse","cal_int_gap_mcse","oe_near_A_mcse","oe_near_B_mcse","coded_rate_A_mcse","coded_rate_B_mcse","events_mcse"
0,40,7.44877806949721,10.3857431379174,0.992709183235218,1.00646648368345,-0.0137573004482359,1.00833922692092,0.991853643951042,0.016485582969882,0.00791465290599261,-0.00879877321702413,0.0167134261230167,1.00765338939998,0.999063432007673,0.450029779292002,0.515690099434901,1504.075,0.0701046384267212,0.0828149330766599,0.00469965812919661,0.00418366531906174,0.00887430585501693,0.00513503228886537,0.0050098020151774,0.0101448034544155,0.00520025750361359,0.00511017972650069,0.0103086441583109,0.0115120291295437,0.0123003438323615,0.00026221351269707,0.000243269168817172,5.24678014815534
0.25,40,7.99419342014637,10.4103102831318,0.992793123761914,1.00634826323147,-0.0135551394695585,1.01081439125033,0.989456708197799,0.0213576830525299,0.0107112816396131,-0.0109886782539638,0.021699959893577,1.00861961776667,1.0035537010372,0.449981326783596,0.515444396072394,1497.675,0.0664865524671687,0.0645280661562751,0.00483974673317367,0.0044212795910297,0.0092547022257489,0.00335194209822269,0.003269255608038,0.00662114800421398,0.00335878841815025,0.00337156890224112,0.00672986270718187,0.0117792531861916,0.0103130213514619,0.00025953003933496,0.000243335745560779,6.3618844470761
0.5,40,8.36166108149182,10.2799114548924,0.990977906439454,1.00892966603787,-0.0179517595984187,1.02389120506333,0.976798405041959,0.0470928000213679,0.0236943117155873,-0.0242081670736476,0.0479024787892349,1.01679046247918,0.994012386131517,0.449795167318745,0.515474477943816,1502.075,0.0867142811735473,0.0848819156218141,0.0049671330538907,0.00463160597221377,0.00958699084827751,0.00408892747357346,0.00397349491995682,0.00806233078274554,0.00405599410870656,0.00414904695073351,0.0082041485913001,0.0173735843809097,0.0124909408408226,0.000196176747388218,0.000275810976618311,6.86699534003046
0.75,40,8.63140160490053,10.2174751218538,0.994243097770822,1.00553623245149,-0.0112931346806671,1.01520516346591,0.985194704859927,0.0300104586059804,0.0150876228361397,-0.0154424636389647,0.0305300864751044,1.0216641910136,1.01168602299747,0.449899706023167,0.515372269819404,1492.025,0.0676610350909508,0.0774019721212613,0.00411736508897596,0.00380229096116562,0.00791315560744505,0.00369617357951792,0.00360270414493939,0.00729884919011695,0.00371694966683796,0.00371352323540723,0.00742972749857369,0.0139345825057045,0.0108156792494298,0.000265605166658925,0.000283383779269183,5.33475391737748
1,40,8.87887353008964,10.0892066966111,0.996806020920568,1.00375260281095,-0.00694658189038415,1.01408744603619,0.986330992013661,0.0277564540225296,0.0138209782978994,-0.0144214090755784,0.0282423873734778,1.0148955433492,0.996847446563605,0.449895567705096,0.515157809605185,1504.25,0.0912830828980288,0.0987080443442695,0.00435443112746119,0.00396680387884936,0.00831247790001701,0.004644347131413,0.00449402651127059,0.00913827273060884,0.00470571567213003,0.00460678559916025,0.00931100221107594,0.0139388010477786,0.0121525630406636,0.000283359088425361,0.000206758898602396,5.90640135133712
1.25,40,9.20087065700744,10.4527299276189,1.00185079257016,0.998895760567193,0.00295503200297111,1.01586640242135,0.984660749943748,0.0312056524776049,0.0157032760265936,-0.016089506431812,0.0317927824584056,1.02429536144441,1.00105447582996,0.450095556411542,0.51597814493562,1499.775,0.0929752846645565,0.101512553240511,0.00405873255115483,0.00390970658534232,0.00796060941330318,0.00417459122385547,0.00404656485927257,0.00822108845883785,0.00417464536229855,0.00420336964450103,0.00837732346132004,0.0125625312747239,0.0139423452279414,0.00027207508436805,0.000236385142494379,5.14600760111849
1.5,40,9.69085246976627,10.4211830459923,1.00091818316829,0.999418318597761,0.00149986457053215,1.01123108315663,0.989077668607067,0.022153414549565,0.0110305461545648,-0.0115531338487344,0.0225836800032991,0.996840032850279,0.993347470798611,0.450093471158667,0.515624569816863,1501.975,0.0784876494894174,0.082241064590251,0.00406652762975765,0.00387338380262539,0.00793522006180188,0.00430394411546126,0.00416678785268717,0.00847064975940274,0.00435089291504895,0.00429416989545061,0.00864400813191579,0.0190812247650836,0.0188413679183997,0.000247940832085092,0.000321812533864485,5.21370082398782
1.75,40,9.55753263819108,10.373043698211,0.993438673960652,1.00657828290341,-0.0131396089427576,1.01548164493712,0.984961839882625,0.0305198050544934,0.015233465531812,-0.0158801809953459,0.031113646527158,0.997749729673758,0.984808375439731,0.450305058673428,0.515131396220231,1499.3,0.0793444972038768,0.0647566338353227,0.00345169575814495,0.00320714707120247,0.00665036313999552,0.00472065743840692,0.00458643384365433,0.00930700458051617,0.00476476535827705,0.00472756687079588,0.00949118706746116,0.0152146480058675,0.0148818956275912,0.000259307741866798,0.000253715749534584,4.51907637488583
2,40,9.76003348891802,10.4257486638734,1.00117571073137,0.999482062768313,0.00169364796305691,1.01533662781182,0.985125949656813,0.030210678155003,0.0151752218073435,-0.0156194068290526,0.0307946286363962,1.0167357671716,0.968959973913345,0.450210395982494,0.515782217258175,1498.85,0.0634550399910527,0.0933446071857485,0.00401845436275969,0.00379148233589297,0.00780600232023037,0.00420249215853529,0.00405656898919937,0.00825900648991609,0.00424736234424754,0.00417802126347773,0.00842414263108662,0.017421474159536,0.016066447776478,0.000246134278813097,0.000297972615316576,5.28016972337938
