"mnar_strength","base_coding_prob","nsim","or_standard","or_oracle","pct_below","cal_oe","or_standard_mcse","or_oracle_mcse","pct_below_mcse","cal_oe_mcse","regime"
0,0.85,200,9.33595572071589,10.4099527554141,24.8000834932973,1.15369152755424,0.101314127889512,0.116582546057057,0.769100625941216,0.00394437047852038,"Alarm symptom (well coded)"
0.25,0.85,200,9.37702415139086,10.3552202128443,23.6397408387116,1.15248826643547,0.114896250510846,0.118110424631163,0.654278494035922,0.003965739423306,"Alarm symptom (well coded)"
0.5,0.85,200,9.63842125666446,10.4413830848706,24.8520154350484,1.14341939398807,0.117831659332148,0.128305396228914,0.722291964251569,0.00366603733828544,"Alarm symptom (well coded)"
0.75,0.85,200,9.73479320930442,10.2898053314462,24.9922811511029,1.13771484044431,0.1215878913811,0.124602903864224,0.647550585990526,0.00365353404998554,"Alarm symptom (well coded)"
1,0.85,200,9.94966926267914,10.4719893449256,25.5123577899199,1.14537598980905,0.109226765795935,0.115424083610553,0.562269854442909,0.00370241005277233,"Alarm symptom (well coded)"
1.25,0.85,200,9.8701767771398,10.3725608015613,28.2138164392827,1.16022802385893,0.13423995506632,0.129442840590929,0.609614138562273,0.00405845470559827,"Alarm symptom (well coded)"
1.5,0.85,200,10.1342678452865,10.4592317945013,28.2662685873364,1.15988364729181,0.12398999634431,0.12432810199754,0.533375750470934,0.00448741742601425,"Alarm symptom (well coded)"
1.75,0.85,200,10.2006123769784,10.4607395928658,29.229476482031,1.16882838363201,0.128953686813664,0.130719725168615,0.530304627557926,0.00465244559909084,"Alarm symptom (well coded)"
2,0.85,200,10.3909892813053,10.581056616323,31.0193103901548,1.17597817576537,0.117685410845763,0.118263389939247,0.478278667511327,0.00445204750761753,"Alarm symptom (well coded)"
0,0.45,200,7.41539701566258,10.4099527554141,61.3078058313421,1.91010796665491,0.103871784879573,0.116582546057057,0.549803832298085,0.0144414325752631,"Vague symptom (under-coded)"
0.25,0.45,200,7.7581276551683,10.3552202128443,60.2695126990137,1.85277416388328,0.116253331359358,0.118110424631163,0.571769561992427,0.0137237753199717,"Vague symptom (under-coded)"
0.5,0.45,200,8.36687407621509,10.4413830848706,58.5734581566719,1.76166040565718,0.123092812241146,0.128305396228914,0.425748787339266,0.0121199563543732,"Vague symptom (under-coded)"
0.75,0.45,200,8.58836824535227,10.2898053314462,57.7199319585325,1.71599982384168,0.122125480789413,0.124602903864224,0.356771203609878,0.0130151762557621,"Vague symptom (under-coded)"
1,0.45,200,8.94626485951843,10.4719893449256,56.8525096631958,1.68506291942587,0.119577156581487,0.115424083610553,0.287790669768311,0.0117056161302997,"Vague symptom (under-coded)"
1.25,0.45,200,9.05443846124125,10.3725608015613,56.8571616000837,1.65676904543283,0.131957179931663,0.129442840590929,0.292437331530767,0.0114634857342981,"Vague symptom (under-coded)"
1.5,0.45,200,9.44307271147805,10.4592317945013,55.6481068664031,1.6101304359403,0.130814330611438,0.12432810199754,0.257656466883289,0.01063412027099,"Vague symptom (under-coded)"
1.75,0.45,200,9.77762358406759,10.4607395928658,55.2444884292217,1.57181635175922,0.127475134274677,0.130719725168615,0.249287844485066,0.00896847898960089,"Vague symptom (under-coded)"
2,0.45,200,9.92616436653567,10.581056616323,55.4147252085552,1.56675911311485,0.129238662733818,0.118263389939247,0.285556363539778,0.0106020461878324,"Vague symptom (under-coded)"
